Tabela 2.3.8;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Percentual dos dispêndios em pesquisa e desenvolvimento (P&D)(1) dos governos estaduais em relação às suas receitas totais, 2000-2023;;;;;;;;;;;;;;;;;;;;;;;;
(em percentual);;;;;;;;;;;;;;;;;;;;;;;;
Regiões e Unidades da Federação;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023(2)
Rio Grande do Sul;0,61;0,65;0,11;0,11;0,25;0,30;0,17;0,18;0,12;0,21;0,27;0,28;0,23;0,22;0,24;0,21;0,21;0,16;0,12;0,09;0,10;0,08;0,11;0,16
Santa Catarina;0,04;0,13;0,26;0,37;0,17;0,54;0,59;0,70;0,83;1,21;1,59;1,32;1,17;0,86;0,81;1,02;0,80;0,83;1,00;0,90;0,90;0,88;0,84;1,05
Centro-Oeste;0,01;0,01;0,02;0,03;0,11;0,09;0,08;0,14;0,22;0,31;0,31;0,21;0,27;0,27;0,33;0,20;0,27;0,35;0,44;0,37;0,33;0,32;0,32;0,29
Distrito Federal;0,01;0,01;0,02;0,04;0,08;0,05;0,02;0,20;0,35;0,54;0,56;0,11;0,19;0,21;0,31;0,05;0,03;0,22;0,09;0,35;0,44;0,38;0,36;0,21
Goiás;-;-;-;0,002;0,05;0,02;0,01;0,07;0,18;0,23;0,17;0,28;0,35;0,24;0,17;0,19;0,40;0,41;0,75;0,44;0,35;0,30;0,20;0,28
Mato Grosso;0,04;0,04;0,001 ;0,04;0,22;0,20;0,22;0,17;0,19;0,25;0,34;0,30;0,16;0,17;0,12;0,30;0,30;0,36;0,31;0,29;0,20;0,24;0,25;0,22
Mato Grosso do Sul;-;-;0,04;0,05;0,12;0,13;0,13;0,12;0,12;0,11;0,15;0,15;0,40;0,57;1,00;0,35;0,41;0,39;0,42;0,36;0,37;0,40;0,63;0,54
"Fontes: Balanços Gerais dos Estados, levantamentos realizados pelas Secretarias Estaduais de Ciência e Tecnologia ou instituições afins e  Secretaria do Tesouro Nacional (STN) - Coordenação-Geral das Relações e Análise Financeira de Estados e Municípios (COREM);
número de docentes NRD3 e número de docentes permanentes da pós-graduação: http://geocapes.capes.gov.br/geocapesds/;
funções docentes em exercício: Sinopse Estatística da Educação Superior, do Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira (INEP), do Ministério da Educação (MEC), extração especial.";;;;;;;;;;;;;;;;;;;;;;;;
Elaboração: Coordenação de Indicadores de Ciência e Tecnologia (COICT) - CGDI/DGIT/SEXEC - Ministério da Ciência, Tecnologia e Inovação (MCTI);;;;;;;;;;;;;;;;;;;;;;;;
"Nota: 1) considerados os valores de empenhos liquidados dos recursos do Tesouro e de outras fontes dos orçamentos fiscal e de seguridade social, excluíndo-se, quando o balanço permite, as despesas com juros e amortização de dívidas, cumprimento de sentenças judiciais e com inativos e pensionistas; 
considerados os gastos da pós-graduação como proxy dos dispêndios em P&D das instituições de ensino superior (IES), sendo que:
dos recursos anuais executados pelas instituições federais e estaduais com pós-graduação stricto sensu reconhecida pela CAPES, subtraem-se as despesas com juros e amortizações de dívidas, com o cumprimento de sentenças judiciais, com inativos e pensionistas e com a manutenção dos hospitais universitários, para estimar a parcela direcionada à pós-graduação multiplicando este resultado pelo quociente número de docentes da pós-graduação / número de docentes das IES do respectivo ano, à exceção dos anos de 2004 a 2006 nas instituições federais, quando foi empregado o quociente de 2003.";;;;;;;;;;;;;;;;;;;;;;;;
2) dados preliminares.;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
